date,EONIA,Euro Area,Spread,Model rate,Model spread
1/31/2003,2.7868,0.89,1.8968,1.83815229,0.94864771
2/28/2003,2.7635,0.91,1.8535,1.814619426,0.948880574
3/31/2003,2.749,0.87,1.879,1.79997657,0.94902343
4/30/2003,2.5605,0.84,1.7205,1.609763132,0.950736868
5/31/2003,2.5571,0.85,1.7071,1.606334676,0.950765324
6/30/2003,2.2133,0.76,1.4533,1.260104939,0.953195061
7/31/2003,2.0783,0.69,1.3883,1.124393088,0.953906912
8/31/2003,2.0981,0.68,1.4181,1.144288951,0.953811049
9/30/2003,2.0209,0.69,1.3309,1.06673177,0.95416823
10/31/2003,2.0148,0.69,1.3248,1.060605449,0.954194551
11/30/2003,1.973,0.69,1.283,1.018632579,0.954367421
12/31/2003,2.0567,0.7,1.3567,1.102691858,0.954008142
1/31/2004,2.0214,0.7,1.3214,1.06723394,0.95416606
2/29/2004,2.0315,0.7,1.3315,1.07737817,0.95412183
3/31/2004,2.0057,0.71,1.2957,1.051466701,0.954233299
4/30/2004,2.078,0.7,1.378,1.124091658,0.953908342
5/31/2004,2.0152,0.71,1.3052,1.061007166,0.954192834
6/30/2004,2.0277,0.7,1.3277,1.073561439,0.954138561
7/31/2004,2.0677,0.7,1.3677,1.113742973,0.953957027
8/31/2004,2.0404,0.72,1.3204,1.086317779,0.954082221
9/30/2004,2.0518,0.72,1.3318,1.097769379,0.954030621
10/31/2004,2.1114,0.72,1.3914,1.157654992,0.953745008
11/30/2004,2.085,0.73,1.355,1.131125198,0.953874802
12/31/2004,2.0535,0.73,1.3235,1.099477158,0.954022842
1/31/2005,2.0771,0.74,1.3371,1.123187372,0.953912628
2/28/2005,2.0585,0.74,1.3185,1.10450016,0.95399984
3/31/2005,2.0567,0.74,1.3167,1.102691858,0.954008142
4/30/2005,2.0757,0.74,1.3357,1.121780718,0.953919282
5/31/2005,2.07,0.75,1.32,1.116053776,0.953946224
6/30/2005,2.0623,0.7,1.3623,1.108317767,0.953982233
7/31/2005,2.0729,0.68,1.3929,1.118967453,0.953932547
8/31/2005,2.0609,0.68,1.3809,1.106911268,0.953988732
9/30/2005,2.0941,0.69,1.4041,1.140269348,0.953830652
10/31/2005,2.0671,0.69,1.3771,1.113140162,0.953959838
