151214_1046,1,globals,Period,NumPeriods,RepeatTreatment,numSubjects,groupSize,numGroups,TRUE,FALSE,Choices,prof,minChoice,fee,rate,a,b,c,choice1,choice2,choice3,choice4,choice5,InfoTime,Time,LastPeriod,groupID,groupIDs[1],groupIDs[2],groupIDs[3],groupIDs[4],groupIDs[5],groupIDs[6],groupIDs[7],groupIDs[8],groupIDs[9],groupIDs[10],groupIDs[11],groupIDs[12],groupIDs[13],groupIDs[14],groupIDs[15],groupIDs[16],groupIDs[17],groupIDs[18],subjectID,pointID,randID,id,au[1],au[2],au[3],au[4],au[5],au[6],au[7],au[8],au[9],au[10],au[11],au[12],au[13],au[14],au[15],au[16],au[17],au[18],Role[1],Role[2],Role[3],Role[4],Role[5],Role[6],Role[7],Role[8],Role[9],Role[10],Role[11],Role[12],Role[13],Role[14],Role[15],Role[16],Role[17],Role[18],i,g
151214_1046,1,globals,1,10,0,18,6,3,1,0,0,0,0,8,1,0.2,0.04,0.18,0,0,0,0,0,200,1000,10,4,1,3,2,1,1,3,3,2,3,3,1,2,2,3,2,1,2,1,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,3,2,4,5,4,3,4,6,5,5,6,6,19,0
151214_1046,1,subjects,Period,Subject,Group,Profit,TotalProfit,Participate,payoff[1],payoff[2],payoff[3],payoff[4],payoff[5],payoff[6],payoff[7],payoff[8],payoff[9],payoff[10],GroupID,firstGroupID,role,button,Input11,Input12,Input13,Input14,Input15,x,y,TimeContinueComprehensionPayoffsOK,TimeContinueGroupRandomizationMessageOK,r0,r1,r2,r3,r4,r5,ready,Choices,TimeOKMainStageOK,minChoice,prof,payment,choice0,choice1,choice2,choice3,choice4,choice5,TimeContinueInfornationOK,TimePlotSelectComprehensionPayoffsOK,TimePlotSelectMainStageOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151214_1046,1,subjects,1,1,1,0,0,0,0.9,0,0,0,0,0,0,0,0,0,1,1,1,0,0.42,0.5,0.62,0.82,0.74,37.72189349,-19.6969697,123,0,1,4,5,11,16,18,1,7,991,5,0.9,0.9,7,7,7,7,6,5,194,0,994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151214_1046,1,subjects,1,2,1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,3,3,1,1,0.42,0.5,0.62,0.82,0.74,39.49704142,-32.38636364,124,6,2,6,7,9,10,14,1,7,993,1,0.1,0.1,7,7,6,1,7,7,195,126,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151214_1046,1,subjects,1,3,1,0,0,0,0.78,0,0,0,0,0,0,0,0,0,2,2,1,1,0.42,0.5,0.62,0.82,0.74,10.57692308,-29.73484848,97,1,3,8,12,13,15,17,1,5,960,4,0.78,0.78,5,7,7,7,4,7,190,101,964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151214_1046,1,subjects,1,4,1,0,0,0,0.9,0,0,0,0,0,0,0,0,0,1,1,2,1,0.42,0.5,0.62,0.82,0.74,34.83727811,-30.11363636,139,5,4,1,5,11,16,18,1,7,999,5,0.9,0.9,7,7,7,7,6,5,195,142,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151214_1046,1,subjects,1,5,1,0,0,0,0.9,0,0,0,0,0,0,0,0,0,1,1,3,1,0.42,0.5,0.62,0.82,0.74,35.20710059,-28.78787879,131,6,5,1,4,11,16,18,1,7,999,5,0.9,0.9,7,7,7,7,6,5,196,133,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151214_1046,1,subjects,1,6,1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,3,3,2,1,0.42,0.5,0.62,0.82,0.74,36.46449704,-32.1969697,114,7,6,2,7,9,10,14,1,7,997,1,0.1,0.1,7,7,6,1,7,7,188,119,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151214_1046,1,subjects,1,7,1,0,0,0,0.14,0,0,0,0,0,0,0,0,0,3,3,3,1,0.42,0.5,0.62,0.82,0.74,29.51183432,-30.87121212,128,7,7,2,6,9,10,14,1,6,997,1,0.14,0.14,6,7,7,1,7,7,192,133,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151214_1046,1,subjects,1,8,1,0,0,0,0.7,0,0,0,0,0,0,0,0,0,2,2,2,1,0.42,0.5,0.62,0.82,0.74,34.83727811,-24.0530303,133,5,8,3,12,13,15,17,1,7,993,4,0.7,0.7,7,5,7,7,4,7,194,136,995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151214_1046,1,subjects,1,9,1,0,0,0,0.34,0,0,0,0,0,0,0,0,0,3,3,4,0,0.42,0.5,0.62,0.82,0.74,-36.02071006,-19.88636364,124,5,9,2,6,7,10,14,1,1,915,1,0.34,0.34,1,7,7,6,7,7,196,0,920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151214_1046,1,subjects,1,10,1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,3,3,5,1,0.42,0.5,0.62,0.82,0.74,39.12721893,-19.6969697,124,8,10,2,6,7,9,14,1,7,989,1,0.1,0.1,7,7,7,6,1,7,186,126,996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151214_1046,1,subjects,1,11,1,0,0,0,0.9,0,0,0,0,0,0,0,0,0,1,1,4,0,0.42,0.5,0.62,0.82,0.74,37.5739645,-24.0530303,147,6,11,1,4,5,16,18,1,7,998,5,0.9,0.9,7,7,7,7,6,5,196,0,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151214_1046,1,subjects,1,12,1,0,0,0,0.7,0,0,0,0,0,0,0,0,0,2,2,3,1,0.42,0.5,0.62,0.82,0.74,39.12721893,-24.81060606,156,8,12,3,8,13,15,17,1,7,997,4,0.7,0.7,7,5,7,7,4,7,196,160,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151214_1046,1,subjects,1,13,1,0,0,0,0.7,0,0,0,0,0,0,0,0,0,2,2,4,1,0.42,0.5,0.62,0.82,0.74,38.16568047,-32.1969697,145,3,13,3,8,12,15,17,1,7,997,4,0.7,0.7,7,5,7,7,4,7,195,148,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151214_1046,1,subjects,1,14,1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,3,3,6,1,0.42,0.5,0.62,0.82,0.74,42.3816568,-32.1969697,124,0,14,2,6,7,9,10,1,7,994,1,0.1,0.1,7,7,7,6,1,7,194,127,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151214_1046,1,subjects,1,15,1,0,0,0,0.82,0,0,0,0,0,0,0,0,0,2,2,5,1,0.42,0.5,0.62,0.82,0.74,1.99704142,-32.38636364,133,6,15,3,8,12,13,17,1,4,970,4,0.82,0.82,4,5,7,7,7,7,191,137,972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
