180402_1606,1,globals,Period,NumPeriods,RepeatTreatment,numSubjects,groupSize,numGroups,TRUE,FALSE,Choices,prof,minChoice,fee,rate,a,b,c,choice1,choice2,choice3,choice4,choice5,InfoTime,Time,LastPeriod,groupID,groupIDs[1],groupIDs[2],groupIDs[3],groupIDs[4],groupIDs[5],groupIDs[6],groupIDs[7],groupIDs[8],groupIDs[9],groupIDs[10],groupIDs[11],groupIDs[12],subjectID,pointID,randID,id,au[1],au[2],au[3],au[4],au[5],au[6],au[7],au[8],au[9],au[10],au[11],au[12],Role[1],Role[2],Role[3],Role[4],Role[5],Role[6],Role[7],Role[8],Role[9],Role[10],Role[11],Role[12],i,g
180402_1606,1,globals,1,10,0,12,6,2,1,0,0,0,0,8,1,0.2,0.04,0.18,0,0,0,0,0,200,1000,10,3,2,1,2,2,1,1,2,1,2,2,1,1,13,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,3,4,4,5,6,5,6,13,0
180402_1606,1,subjects,Period,Subject,Group,Profit,TotalProfit,Participate,payoff[1],payoff[2],payoff[3],payoff[4],payoff[5],payoff[6],payoff[7],payoff[8],payoff[9],payoff[10],GroupID,firstGroupID,role,button,Input11,Input12,Input13,Input14,Input15,x,y,TimeContinueComprehensionPayoffsOK,TimeContinueGroupRandomizationMessageOK,r0,r1,r2,r3,r4,r5,ready,Choices,TimeOKMainStageOK,minChoice,prof,payment,choice0,choice1,choice2,choice3,choice4,choice5,TimeContinueInfornationOK,TimePlotSelectComprehensionPayoffsOK,TimePlotSelectMainStageOK,,,,,,,,,,,,,,,,,
180402_1606,1,subjects,1,1,1,0,0,0,0.78,0,0,0,0,0,0,0,0,0,2,2,1,1,0.42,0.5,0.62,0.82,0.74,9.985207101,-32.1969697,166,3,1,3,4,7,9,10,1,5,999,4,0.78,0.78,5,4,6,7,6,7,196,171,1000,,,,,,,,,,,,,,,,,
180402_1606,1,subjects,1,2,1,0,0,0,0.78,0,0,0,0,0,0,0,0,0,1,1,1,1,0.42,0.5,0.62,0.82,0.74,16.78994083,-24.24242424,147,2,2,5,6,8,11,12,1,5,971,4,0.78,0.78,5,4,7,4,5,7,195,155,980,,,,,,,,,,,,,,,,,
180402_1606,1,subjects,1,3,1,0,0,0,0.82,0,0,0,0,0,0,0,0,0,2,2,2,0,0.42,0.5,0.62,0.82,0.74,-0.073964497,-32.38636364,139,8,3,1,4,7,9,10,1,4,997,4,0.82,0.82,4,5,6,7,6,7,196,0,998,,,,,,,,,,,,,,,,,
180402_1606,1,subjects,1,4,1,0,0,0,0.74,0,0,0,0,0,0,0,0,0,2,2,3,1,0.42,0.5,0.62,0.82,0.74,22.18934911,-25.37878788,156,7,4,1,3,7,9,10,1,6,993,4,0.74,0.74,6,5,4,7,6,7,191,159,996,,,,,,,,,,,,,,,,,
180402_1606,1,subjects,1,5,1,0,0,0,0.82,0,0,0,0,0,0,0,0,0,1,1,2,0,0.42,0.5,0.62,0.82,0.74,4.142011834,-31.25,119,1,5,2,6,8,11,12,1,4,992,4,0.82,0.82,4,5,7,4,5,7,189,0,994,,,,,,,,,,,,,,,,,
180402_1606,1,subjects,1,6,1,0,0,0,0.7,0,0,0,0,0,0,0,0,0,1,1,3,1,0.42,0.5,0.62,0.82,0.74,39.27514793,-32.38636364,120,7,6,2,5,8,11,12,1,7,991,4,0.7,0.7,7,5,4,4,5,7,194,126,993,,,,,,,,,,,,,,,,,
180402_1606,1,subjects,1,7,1,0,0,0,0.7,0,0,0,0,0,0,0,0,0,2,2,4,1,0.42,0.5,0.62,0.82,0.74,34.83727811,-27.27272727,124,6,7,1,3,4,9,10,1,7,991,4,0.7,0.7,7,5,4,6,6,7,196,130,996,,,,,,,,,,,,,,,,,
