"","age_orig","age_adj","d18O","year","scaled_rainfall"
"1",50,56,-0.8,1894,0.47
"2",100,112,-0.6,1838,0.54
"3",200,224,-0.53,1726,0.5645
"4",300,336,-0.33,1614,0.6345
"5",400,448,-0.53,1502,0.5645
"6",500,560,-0.97,1390,0.4105
"7",600,672,-0.87,1278,0.4455
"8",700,784,-0.43,1166,0.5995
"9",800,896,-0.07,1054,0.7255
"10",900,1008,-0.1,942,0.715
"11",1000,1120,-0.57,830,0.5505
"12",1100,1232,-0.87,718,0.4455
"13",1200,1344,-1,606,0.4
"14",1300,1456,-1.07,494,0.3755
"15",1400,1568,-0.53,382,0.5645
"16",1600,1792,-1.07,158,0.3755
"17",1700,1904,-1.37,46,0.2705
"18",1900,2128,-1.27,-178,0.3055
"19",2000,2240,-1.47,-290,0.2355
"20",2100,2352,-1.7,-402,0.155
"21",2250,2520,-1.97,-570,0.0605
"22",2400,2688,-1.73,-738,0.1445
"23",2500,2800,-1.7,-850,0.155
"24",2600,2912,-1.3,-962,0.295
"25",2700,3024,-1.53,-1074,0.2145
"26",2800,3136,-0.87,-1186,0.4455
"27",2900,3248,-1.6,-1298,0.19
"28",3000,3360,-1.4,-1410,0.26
"29",3100,3472,-1.8,-1522,0.12
"30",3200,3584,-1.47,-1634,0.2355
"31",3300,3696,-1.03,-1746,0.3895
"32",3400,3808,-0.57,-1858,0.5505
"33",3500,3920,-0.4,-1970,0.61
"34",3600,4032,-0.63,-2082,0.5295
"35",3700,4144,-0.83,-2194,0.4595
"36",3800,4256,-1,-2306,0.4
"37",3900,4368,-0.27,-2418,0.6555
"38",4000,4480,-0.33,-2530,0.6345
"39",4100,4592,-0.07,-2642,0.7255
"40",4200,4704,-0.47,-2754,0.5855
"41",4300,4816,-0.37,-2866,0.6205
"42",4400,4928,0.23,-2978,0.8305
"43",4500,5040,0.3,-3090,0.855
"44",4600,5152,0.57,-3202,0.9495
"45",4700,5264,0.13,-3314,0.7955
"46",4800,5376,0.43,-3426,0.9005
"47",4900,5488,0.13,-3538,0.7955
"48",5000,5600,0.13,-3650,0.7955
"49",5100,5712,-0.27,-3762,0.6555
"50",5200,5824,0,-3874,0.75
"51",5300,5936,-0.33,-3986,0.6345
"52",5400,6048,-0.3,-4098,0.645
"53",5500,6160,-0.5,-4210,0.575
"54",5600,6272,-0.33,-4322,0.6345
"55",5800,6496,-0.47,-4546,0.5855
"56",5900,6608,-0.43,-4658,0.5995
"57",6000,6720,-0.4,-4770,0.61
"58",6100,6832,-0.03,-4882,0.7395
"59",6200,6944,0.23,-4994,0.8305
"60",6300,7056,0.13,-5106,0.7955
"61",6400,7168,-0.1,-5218,0.715
"62",6500,7280,0.07,-5330,0.7745
"63",6600,7392,0.43,-5442,0.9005
