year_100,sd_rainfall,mean_rainfall,max_rainfall,first_diff
-5000,.15816465,-8.1951163,-7.8,.0119351
-4900,.27994449,-8.2224324,-7.72,.1217798
-4800,.10471958,-8.4152381,-8.22,-.1752249
-4700,.12345408,-8.4313636,-8.21,.0187345
-4600,.13261293,-8.4052381,-8.22,.0091589
-4500,.14056472,-8.4581818,-8.18,.0079518
-4400,.28679751,-8.5036364,-7.67,.1462328
-4300,.13528776,-8.4144444,-8.28,-.1515098
-4200,.18233059,-8.1222222,-7.87,.0470428
-4100,.04898979,-7.9633333,-7.87,-.1333408
-4000,.14521058,-8.0488889,-7.85,.0962208
-3900,.11401754,-8.44,-8.21,-.031193
-3800,.11623731,-8.4911111,-8.26,.0022198
-3700,.16930275,-8.3159091,-7.98,.0530654
-3600,.17449561,-8.3477778,-8.01,.0051929
-3500,.18640238,-8.3046154,-7.96,.0119068
-3400,.14204356,-8.1307143,-7.95,-.0443588
-3300,.09338094,-8.448,-8.35,-.0486626
-3200,.06920983,-8.305,-8.23,-.0241711
-3100,.05147815,-8.35,-8.3,-.0177317
-3000,.07814516,-8.1933333,-8.11,.026667
-2900,.17683325,-8.182,-7.88,.0986881
-2800,.07554248,-8.2366667,-8.11,-.1012908
-2700,.07146095,-8.2573333,-8.12,-.0040815
-2600,.08296299,-8.146,-7.99,.011502
-2500,.06098725,-8.1477778,-8.06,-.0219757
-2400,.03597839,-8.1222222,-8.06,-.0250089
-2300,.0395671,-8.221,-8.16,.0035887
-2200,.06164414,-8.06,-7.96,.022077
-2100,.10321747,-8.1433333,-7.96,.0415733
-2000,.47312383,-7.9787234,-6.91,.3699064
-1900,.47412591,-7.8721277,-6.82,.0010021
-1800,.45862417,-7.6952083,-6.86,-.0155017
-1700,.51116784,-7.7508696,-6.67,.0525437
-1600,.51763579,-7.9175,-6.7,.0064679
-1500,.68050119,-8.0377083,-6.47,.1628654
-1400,.55020445,-7.8434,-6.59,-.1302967
-1300,.52650758,-7.7636667,-6.91,-.0236969
-1200,.52434003,-7.5690909,-6.85,-.0021675
-1100,.56858975,-7.4040741,-6.73,.0442497
-1000,.69345454,-7.3263333,-6.59,.1248648
-900,.68417238,-7.3696154,-6.58,-.0092822
-800,.61189611,-7.4479412,-6.39,-.0722763
-700,.93324477,-7.3248387,-5.74,.3213487
-600,1.0085079,-7.1184848,-5.72,.0752632
-500,.82465022,-7.126875,-5.98,-.1838577
-400,.86709278,-6.9703226,-6.2,.0424426
-300,.88046273,-6.8902857,-6.06,.0133699
-200,.8224822,-6.7777143,-6.08,-.0579805
-100,1.0209576,-6.730625,-5.73,.1984754
0,1.0075101,-6.7296774,-5.64,-.0134475
100,.98647647,-6.66975,-5.78,-.0210336
200,.85204581,-6.795814,-5.98,-.1344307
300,.75541318,-6.902619,-6.06,-.0966326
400,.60798098,-6.9536111,-6.21,-.1474322
500,.82612217,-7.1518182,-6.23,.2181412
600,.86463032,-7.3054839,-6.37,.0385082
700,.84444446,-7.2774194,-6.27,-.0201859
800,.82077664,-7.18,-6.28,-.0236678
900,.85066294,-6.9597561,-6.15,.0298863
1000,.81915353,-7.189375,-6.25,-.0315094
1100,.74712756,-7.400625,-6.54,-.072026
1200,.72623736,-6.7709091,-6.09,-.0208902
1300,.74401593,-6.9330357,-6.24,.0177786
1400,.82345103,-7.2440385,-6.31,.0794351
1500,.87437388,-7.4466102,-6.24,.0509228
1600,.81898237,-7.3466154,-6.34,-.0553915
1700,.70633941,-6.8814286,-6.11,-.112643
1800,.63527031,-6.9874863,-5.81,-.0710691
1900,.81576143,-6.9608661,-5.89,.1804911
2000,1.1107024,-7.0810769,-5.73,.2949409
