iso,first_best_RE,cooperative_RE,first_best_FE,cooperative_FE
AUS,0.903890879054248,1.53738845736013,2.29857362387071,3.41643018634958
AUT,1.31150114144198,0.76181082304323,2.12173749438382,1.78334135484408
BEL,1.30882883432923,-0.183182962576756,1.65742689594655,-0.453444022452254
BGR,2.01426660617858,3.00912630017443,5.47529870520593,5.60829776630547
BRA,1.86926836578287,1.84951423196715,4.31001974817387,4.4270958813927
CAN,1.71608251614697,1.86525854538249,3.41504922433307,3.84311159423163
CHE,1.04374218244589,0.543873265847195,1.27523177337316,0.87027966811033
CHN,1.7602251889975,1.48389214970914,3.6995739692411,3.09951833852362
CYP,1.7466672031897,6.49506769782739,5.83191881497618,13.7891963790281
CZE,1.67952112517109,0.790904696900085,2.86260055476872,2.0589440538282
DEU,1.71165522668768,0.539160247747339,2.59895502618108,1.72473909580797
DNK,1.2211668308076,1.61768902704462,1.9418010269141,3.99059240937867
ESP,1.53490634554909,1.01969052789928,2.51323814742599,1.66696076352331
EST,1.18250094088412,3.29854541675914,2.6946890616286,7.16105368244477
FIN,1.40010798010877,-0.0165998332636974,1.99955043995215,0.341502774972602
FRA,1.20439640384458,1.39731708024446,2.52452315727716,2.88764950192866
GBR,1.09243743409546,1.61267008444708,2.10305832184647,2.89610406353928
GRC,1.81993788530481,0.905017117601092,2.74825497966735,-0.253551513707995
HRV,1.0331970952723,2.00815113675552,1.78880723905697,3.80621965384262
HUN,2.2492972948104,1.90167794416245,4.08285092623364,4.1414649641357
IDN,1.99648181031324,2.66810262831145,4.81370876122531,6.49214376877751
IND,1.80772279164894,1.37499398314644,4.19609354255943,2.27492530478459
IRL,0.858134874782079,-2.14281237339877,1.48721711013908,-2.67164799137009
ITA,1.50116682297543,0.618853514165552,2.75450774257286,1.64956457622876
JPN,1.48150385735681,1.43838257379423,2.9724720551551,3.01173024667301
KOR,2.12186515301498,1.61715918095575,4.37479323604788,3.38701982865788
LTU,2.50097076530573,0.149110211486736,3.53807032928053,-1.96232572197497
LUX,0.931920337897307,1.84038553298838,1.515366559992,3.41903600467182
LVA,0.913307974836486,3.5846455083532,1.57479921605346,7.6322887368788
MEX,2.23627981275345,2.73580864334872,4.96273866598094,6.28828957716596
MLT,1.35109295549083,3.0931875410378,2.08331318178221,5.90986773162971
NLD,1.35469179456145,1.80572228558036,1.94884620641502,3.58883496060138
NOR,1.1889392990422,0.558147105262452,2.02019898952002,1.4305117237686
POL,2.1885266342452,1.97740815646645,4.02527868125866,3.69454518443666
PRT,2.03923576733351,2.14825173039195,3.92171546422602,4.11074259263364
ROU,2.04601103254642,2.91862753009227,3.91993099318171,5.27930967147119
RUS,2.393980082726,2.30690790475439,5.25056038561995,4.10190940373363
SVK,2.00916838716101,2.11856712629741,3.50328137672384,3.6240789734205
SVN,1.42274697225306,2.20089510103765,1.34551605569591,5.07690138596033
SWE,1.20650165993965,0.29035399537447,1.54282704662512,0.563495307301198
TUR,1.43345944351401,2.34523869972418,3.52050589506354,5.30885498720508
TWN,2.18181427488875,2.21841133935397,4.92436601918556,5.04502458307843
USA,1.52828688006581,1.51603823726516,3.04122655399302,2.99562707424177
