160222_1450,1,globals,Period,NumPeriods,RepeatTreatment,numSubjects,groupSize,numGroups,TRUE,FALSE,Choices,prof,minChoice,fee,rate,a,b,c,choice1,choice2,choice3,choice4,choice5,InfoTime,Time,LastPeriod,groupID,groupIDs[1],groupIDs[2],groupIDs[3],groupIDs[4],groupIDs[5],groupIDs[6],groupIDs[7],groupIDs[8],groupIDs[9],groupIDs[10],groupIDs[11],groupIDs[12],groupIDs[13],groupIDs[14],groupIDs[15],groupIDs[16],groupIDs[17],groupIDs[18],subjectID,pointID,randID,id,au[1],au[2],au[3],au[4],au[5],au[6],au[7],au[8],au[9],au[10],au[11],au[12],au[13],au[14],au[15],au[16],au[17],au[18],Role[1],Role[2],Role[3],Role[4],Role[5],Role[6],Role[7],Role[8],Role[9],Role[10],Role[11],Role[12],Role[13],Role[14],Role[15],Role[16],Role[17],Role[18],i,g
160222_1450,1,globals,1,10,0,18,6,3,1,0,0,0,0,8,1,0.2,0.04,0.18,0,0,0,0,0,200,1000,10,4,2,1,3,1,2,2,3,2,1,2,1,3,3,3,3,1,2,1,19,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,2,4,3,5,4,3,4,5,6,5,6,6,19,0
160222_1450,1,subjects,Period,Subject,Group,Profit,TotalProfit,Participate,payoff[1],payoff[2],payoff[3],payoff[4],payoff[5],payoff[6],payoff[7],payoff[8],payoff[9],payoff[10],GroupID,firstGroupID,role,button,Input11,Input12,Input13,Input14,Input15,x,y,TimeContinueComprehensionPayoffsOK,TimeContinueGroupRandomizationMessageOK,r0,r1,r2,r3,r4,r5,ready,Choices,TimeOKMainStageOK,minChoice,prof,payment,choice0,choice1,choice2,choice3,choice4,choice5,TimeContinueInfornationOK,TimePlotSelectMainStageOK,TimePlotSelectComprehensionPayoffsOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160222_1450,1,subjects,1,1,1,0,0,0,0.74,0,0,0,0,0,0,0,0,0,2,2,1,1,0.42,0.5,0.62,0.82,0.74,28.92011834,-25,143,0,1,5,6,8,10,17,1,6,984,4,0.74,0.74,6,7,4,5,7,7,193,988,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160222_1450,1,subjects,1,2,1,0,0,0,0.9,0,0,0,0,0,0,0,0,0,1,1,1,0,0.42,0.5,0.62,0.82,0.74,37.20414201,-19.6969697,142,1,2,4,9,11,16,18,1,7,929,5,0.9,0.9,7,7,5,7,7,7,194,931,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160222_1450,1,subjects,1,3,1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,3,3,1,0,0.42,0.5,0.62,0.82,0.74,40.68047337,-19.88636364,167,10,3,7,12,13,14,15,1,7,996,1,0.1,0.1,7,5,7,7,7,1,197,997,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160222_1450,1,subjects,1,4,1,0,0,0,0.9,0,0,0,0,0,0,0,0,0,1,1,2,0,0.42,0.5,0.62,0.22,0.14,41.34615385,-32.00757576,109,0,4,2,9,11,16,18,1,7,998,5,0.9,0.9,7,7,5,7,7,7,186,999,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160222_1450,1,subjects,1,5,1,0,0,0,0.7,0,0,0,0,0,0,0,0,0,2,2,2,0,0.42,0.5,0.62,0.82,0.74,34.9112426,-28.03030303,143,10,5,1,6,8,10,17,1,7,999,4,0.7,0.7,7,6,4,5,7,7,195,1000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160222_1450,1,subjects,1,6,1,0,0,0,0.82,0,0,0,0,0,0,0,0,0,2,2,3,1,0.42,0.5,0.62,0.82,0.74,3.920118343,-32.38636364,122,4,6,1,5,8,10,17,1,4,995,4,0.82,0.82,4,6,7,5,7,7,193,997,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160222_1450,1,subjects,1,7,1,0,0,0,0.18,0,0,0,0,0,0,0,0,0,3,3,2,1,0.42,0.5,0.62,0.82,0.74,16.86390533,-32.38636364,149,8,7,3,12,13,14,15,1,5,998,1,0.18,0.18,5,7,7,7,7,1,194,1000,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160222_1450,1,subjects,1,8,1,0,0,0,0.78,0,0,0,0,0,0,0,0,0,2,2,4,0,0.42,0.5,0.62,0.82,0.74,8.949704142,-25.37878788,132,8,8,1,5,6,10,17,1,5,987,4,0.78,0.78,5,6,7,4,7,7,194,989,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160222_1450,1,subjects,1,9,1,0,0,0,0.98,0,0,0,0,0,0,0,0,0,1,1,3,1,0.42,0.5,0.62,0.82,0.74,11.98224852,-31.62878788,146,7,9,2,4,11,16,18,1,5,991,5,0.98,0.98,5,7,7,7,7,7,193,991,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160222_1450,1,subjects,1,10,1,0,0,0,0.7,0,0,0,0,0,0,0,0,0,2,2,5,1,0.42,0.5,0.62,0.82,0.74,43.12130178,-32.1969697,152,9,10,1,5,6,8,17,1,7,999,4,0.7,0.7,7,6,7,4,5,7,193,1000,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160222_1450,1,subjects,1,11,1,0,0,0,0.9,0,0,0,0,0,0,0,0,0,1,1,4,1,0.42,0.5,0.62,0.82,0.74,40.38461538,-32.1969697,155,9,11,2,4,9,16,18,1,7,995,5,0.9,0.9,7,7,7,5,7,7,193,998,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160222_1450,1,subjects,1,12,1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,3,3,3,1,0.42,0.5,0.62,0.82,0.74,40.38461538,-31.06060606,134,0,12,3,7,13,14,15,1,7,997,1,0.1,0.1,7,7,5,7,7,1,190,999,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160222_1450,1,subjects,1,13,1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,3,3,4,1,0.42,0.5,0.62,0.82,0.74,36.31656805,-32.00757576,148,4,13,3,7,12,14,15,1,7,998,1,0.1,0.1,7,7,5,7,7,1,195,1000,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160222_1450,1,subjects,1,14,1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,3,3,5,1,0.42,0.5,0.62,0.82,0.74,42.97337278,-25,115,0,14,3,7,12,13,15,1,7,994,1,0.1,0.1,7,7,5,7,7,1,188,996,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160222_1450,1,subjects,1,15,1,0,0,0,0.34,0,0,0,0,0,0,0,0,0,3,3,6,1,0.42,0.5,0.62,0.82,0.74,-42.3816568,-32.38636364,135,0,15,3,7,12,13,14,1,1,978,1,0.34,0.34,1,7,5,7,7,7,198,985,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160222_1450,1,subjects,1,16,1,0,0,0,0.9,0,0,0,0,0,0,0,0,0,1,1,5,1,0.42,0.5,0.62,0.82,0.74,35.13313609,-28.40909091,156,9,16,2,4,9,11,18,1,7,1000,5,0.9,0.9,7,7,7,5,7,7,196,99999,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
