"","Treatment","Session","GroupID","RoleID","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"1","Standard Cheap Talk","1","1","1","4","2","2","2","1","7","2","3","2","2"
"2","Standard Cheap Talk","1","1","2","7","7","7","7","7","7","7","7","7","7"
"3","Standard Cheap Talk","1","1","3","7","7","7","7","7","7","7","5","6","7"
"4","Standard Cheap Talk","1","1","4","7","7","7","7","7","1","1","5","3","1"
"5","Standard Cheap Talk","1","1","5","7","7","6","7","5","7","7","7","7","7"
"6","Standard Cheap Talk","1","1","6","1","5","6","7","7","5","7","5","7","7"
"7","Standard Cheap Talk","1","2","1","7","5","3","1","7","7","7","7","7","7"
"8","Standard Cheap Talk","1","2","2","2","3","1","4","4","5","5","6","6","6"
"9","Standard Cheap Talk","1","2","3","5","6","5","4","5","4","5","5","6","6"
"10","Standard Cheap Talk","1","2","4","5","6","5","4","6","6","6","6","5","6"
"11","Standard Cheap Talk","1","2","5","6","6","6","7","7","7","7","7","7","4"
"12","Standard Cheap Talk","1","2","6","6","6","7","7","7","7","7","7","7","7"
"13","Standard Cheap Talk","2","3","1","7","7","7","7","7","7","7","7","7","7"
"14","Standard Cheap Talk","2","3","2","7","7","7","7","7","7","7","7","7","7"
"15","Standard Cheap Talk","2","3","3","7","7","7","7","7","7","7","7","7","7"
"16","Standard Cheap Talk","2","3","4","6","7","7","7","7","7","7","7","7","7"
"17","Standard Cheap Talk","2","3","5","7","7","7","7","7","7","7","7","7","7"
"18","Standard Cheap Talk","2","3","6","7","7","7","7","7","7","7","7","7","7"
"19","Standard Cheap Talk","2","4","1","7","5","1","7","7","2","7","7","7","7"
"20","Standard Cheap Talk","2","4","2","6","6","7","5","7","6","7","6","5","7"
"21","Standard Cheap Talk","2","4","3","7","3","3","3","7","7","7","7","7","7"
"22","Standard Cheap Talk","2","4","4","7","7","5","7","7","7","7","7","6","6"
"23","Standard Cheap Talk","2","4","5","7","7","7","7","7","7","7","7","7","7"
"24","Standard Cheap Talk","2","4","6","1","5","4","4","2","2","5","3","3","6"
"25","Standard Cheap Talk","3","5","1","7","7","7","7","7","7","7","7","7","7"
"26","Standard Cheap Talk","3","5","2","2","6","7","7","7","7","7","7","7","7"
"27","Standard Cheap Talk","3","5","3","5","7","7","7","7","7","7","7","7","7"
"28","Standard Cheap Talk","3","5","4","7","7","7","7","7","7","7","7","7","7"
"29","Standard Cheap Talk","3","5","5","7","7","7","7","7","7","7","7","7","7"
"30","Standard Cheap Talk","3","5","6","7","7","7","7","7","7","7","7","7","7"
"31","Standard Cheap Talk","3","6","1","7","7","7","7","6","7","7","7","7","7"
"32","Standard Cheap Talk","3","6","2","7","6","7","7","7","7","7","7","7","7"
"33","Standard Cheap Talk","3","6","3","2","7","7","7","7","7","7","6","7","7"
"34","Standard Cheap Talk","3","6","4","7","6","5","6","7","7","7","7","7","7"
"35","Standard Cheap Talk","3","6","5","6","7","7","7","7","7","7","7","7","7"
"36","Standard Cheap Talk","3","6","6","3","7","7","7","7","7","7","7","7","7"
"37","Standard Cheap Talk","4","7","1","6","7","7","7","7","7","7","7","7","7"
"38","Standard Cheap Talk","4","7","2","4","6","7","7","7","7","5","7","7","5"
"39","Standard Cheap Talk","4","7","3","7","6","7","7","7","7","7","7","7","7"
"40","Standard Cheap Talk","4","7","4","7","7","7","7","7","7","7","7","7","1"
"41","Standard Cheap Talk","4","7","5","6","6","6","7","7","7","7","6","6","7"
"42","Standard Cheap Talk","4","7","6","4","5","4","6","6","6","6","6","5","6"
"43","Standard Cheap Talk","4","8","1","7","7","7","7","7","7","7","7","7","7"
"44","Standard Cheap Talk","4","8","2","5","5","7","5","5","6","6","6","7","7"
"45","Standard Cheap Talk","4","8","3","7","7","7","7","7","7","7","7","7","7"
"46","Standard Cheap Talk","4","8","4","7","7","7","7","6","4","6","7","6","7"
"47","Standard Cheap Talk","4","8","5","5","7","1","4","7","7","7","7","7","7"
"48","Standard Cheap Talk","4","8","6","7","7","7","7","7","7","7","7","7","7"
"49","Revision Cheap Talk 60th","1","1","1","7","7","7","7","7","7","7","7","7","7"
"50","Revision Cheap Talk 60th","1","1","1","7","1","5","5","5","4","6","7","7","5"
"51","Revision Cheap Talk 60th","1","1","1","7","1","7","7","7","7","6","7","7","7"
"52","Revision Cheap Talk 60th","1","1","1","5","1","5","5","5","4","6","7","7","4"
"53","Revision Cheap Talk 60th","1","1","1","5","5","5","5","6","6","6","7","7","7"
"54","Revision Cheap Talk 60th","1","1","1","7","5","7","7","7","4","6","7","7","7"
"55","Revision Cheap Talk 60th","1","1","2","7","7","7","7","7","7","7","7","7","7"
"56","Revision Cheap Talk 60th","1","1","2","5","7","7","7","7","7","7","6","6","7"
"57","Revision Cheap Talk 60th","1","1","2","7","7","7","7","7","7","7","7","7","7"
"58","Revision Cheap Talk 60th","1","1","2","6","7","7","7","7","7","6","6","6","7"
"59","Revision Cheap Talk 60th","1","1","2","7","7","7","7","7","7","7","7","7","7"
"60","Revision Cheap Talk 60th","1","1","2","7","7","7","7","7","7","7","7","7","7"
"61","Revision Cheap Talk 60th","2","2","3","7","7","7","7","7","7","7","7","7","7"
"62","Revision Cheap Talk 60th","2","2","3","7","7","7","7","7","7","7","7","7","7"
"63","Revision Cheap Talk 60th","2","2","3","7","7","7","7","7","7","7","7","7","7"
"64","Revision Cheap Talk 60th","2","2","3","7","7","7","7","7","7","7","7","7","7"
"65","Revision Cheap Talk 60th","2","2","3","7","7","7","7","7","7","7","7","7","7"
"66","Revision Cheap Talk 60th","2","2","3","7","7","7","7","7","7","7","7","7","7"
"67","Revision Cheap Talk 60th","2","2","4","4","5","1","5","6","3","3","5","5","2"
